id,weight,sourceName,destName
449,5,Cantavieja,Olocau del Rey
874,5,La Todolella,Las Parras
926,5,Forcall,Salto del Huergo
1133,5,Luco de Bordón,Cuevas de Cañart
100,5,Ejulve,Pitarque
155,5,Villarluengo,Cantavieja
554,6,Valdelinares,Villarroya de los Pinares
564,6,Les Albaredes,Tronchón
1060,6,Bordón,Aguaviva
1116,6,Morrón,La Cuba
122,6,Organos de Montoro,Olocau del Rey
203,6,Pitarque,Fortanete
213,6,Pitarque,Tronchón
450,7,Cantavieja,Bordón
491,7,Iglesuela de Cid,Olocau del Rey
577,7,Les Albaredes,Torremocha
720,7,Mirambel,Zorita
980,7,Zorita,Las Planas
408,8,Fortanete,Río Bordón
474,8,Cantavieja,Los Baños
708,8,Mosqueruela,Villarroya de los Pinares
955,8,Saltapins,Salto del Huergo
1092,8,Río Bordón,Montoro Mezquita
1224,8,Aguaviva,Los Baños
1249,8,Puente Fonseca,La Cuba
32,8,Gargallo,Castellote
280,8,Río Pitarque,Ladruñán
306,8,Cañada,Mirambel
515,9,Iglesuela de Cid,Ermita del Carmen
106,9,Organos de Montoro,Iglesuela de Cid
775,10,Muela Monchén,Las Parras
839,10,La Mata,Molinos
899,10,Cinctorres,Cuevas de Cañart
131,10,Organos de Montoro,Salto del Huergo
337,10,Cañada,Nacimiento de Las Truchas
901,11,Cinctorres,Seno
52,11,Gargallo,Puerto Cuarto Pelado
630,12,Portel de Morella,Puerto de Fortanete
1075,12,Bordón,Miravete
171,13,Villarluengo,Morella
529,19,Valdelinares,Saltapins
700,19,Mosqueruela,Seno
1024,19,Morella,Miravete
1219,19,Aguaviva,Alto del Hornillo
662,20,Linares de Mora,Castellote
1207,21,Río Aguaviva,Allepuz
