sourceId,targetId,sourceName,targetName,weight
02,03,Gargallo,Ejulve,3
02,45,Gargallo,Molinos,4
03,45,Ejulve,Molinos,3
03,46,Ejulve,Montoro mezquita,4
03,42,Ejulve,Las cuevas de cañart,4
03,04,Ejulve,Organo de Montoro,3
04,46,Organo de Montoro,Montoro mezquita,2
04,05,Organo de Montoro,Villarluengo,1
04,41,Organo de Montoro,Ladruñan,6
05,06,Villarluengo,Pitarque,2
05,08,Villarluengo,Cañada,2
05,55,Villarluengo,Los Baños,3
05,20,Villarluengo,Tronchon,4
05,19,Villarluengo,Muela Monchen,4
06,07,Pitarque,Rio Pitarque,1
06,46,Pitarque,Montoro mezquita,1
07,46,Rio Pitarque,Montoro mezquita,3
07,08,Rio Pitarque,Cañada,2
08,10,Cañada,Fortanete,3
08,09,Cañada,Puerto Cuarto Pelado,2
09,10,Puerto Cuarto Pelado,Fortanete,1
09,19,Puerto Cuarto Pelado,Muela Monchen,2
09,11,Puerto Cuarto Pelado,Cantavieja,3
10,11,Fortanete,Cantavieja,4
10,49,Fortanete,Puerto de Fortanete,2
10,54,Fortanete,Ermita del Carmen,2
10,52,Fortanete,Villarroya de los Pinares,3
11,19,Cantavieja,Muela Monchen,1
11,18,Cantavieja,Mirambel,3
11,12,Cantavieja,Iglesuela de cid,3
11,17,Cantavieja,Mosqueruela,6
12,14,Iglesuela de cid,Les Albaredes,2
12,47,Iglesuela de cid,La Cuba,4
12,15,Iglesuela de cid,Portel de Morella,4
13,16,Valdelinares,Linares de Mora,4
13,17,Valdelinares,Mosqueruela,5
13,49,Valdelinares,Puerto de Fortanete,3
13,50,Valdelinares,Alto del Hornillo,1
13,56,Valdelinares,Allepuz,4
14,15,Les Albaredes,Portel de Morella,1
14,47,Les Albaredes,La Cuba,2
15,23,Portel de Morella,Cinctorres,2
16,17,Linares de Mora,Mosqueruela,2
17,54,Mosqueruela,Ermita del Carmen,3
17,51,Mosqueruela,Nacimiento de Las Truchas,4
17,50,Mosqueruela,Alto del Hornillo,4
18,47,Mirambel,La Cuba,1
18,20,Mirambel,Tronchon,3
18,28,Mirambel,Olocau del Rey,2
19,20,Muela Monchen,Tronchon,3
20,28,Tronchon,Olocau del Rey,1
20,32,Tronchon,Nacimiento del Rio Bordon,2
21,28,La Mata,Olocau del Rey,2
21,47,La Mata,La Cuba,1
21,23,La Mata,Cinctorres,2
21,22,La Mata,La Todolella,1
22,31,La Todolella,Bordon,3
22,34,La Todolella,Luco,2
22,24,La Todolella,Forcall,1
23,24,Cinctorres,Forcall,3
23,25,Cinctorres,Saltapin,3
24,26,Forcall,Zorita,3
24,27,Forcall,Morella,4
24,25,Forcall,Saltapin,3
25,27,Saltapin,Morella,1
26,37,Zorita,Rio Aguaviva,3
28,31,Olocau del Rey,Bordon,2
31,34,Bordon,Luco,1
31,33,Bordon,Morron,1
31,32,Bordon,Nacimiento del Rio Bordon,1
32,55,Nacimiento del Rio Bordon,Los Baños,2
32,40,Nacimiento del Rio Bordon,Puente Fonseca,2
33,41,Morron,Ladruñan,2
33,36,Morron,Las Planas,1
34,36,Luco,Las Planas,1
34,35,Luco,Torremocha,1
35,48,Torremocha,Las Parras,2
36,39,Las Planas,Salto del Huergo,1
37,48,Rio Aguaviva,Las Parras,3
37,38,Rio Aguaviva,Aguaviva,2
38,48,Aguaviva,Las Parras,2
38,44,Aguaviva,Seno,4
38,43,Aguaviva,Castellote,3
39,43,Salto del Huergo,Castellote,3
39,48,Salto del Huergo,Las Parras,2
40,41,Puente Fonseca,Ladruñan,1
40,55,Puente Fonseca,Los Baños,1
41,43,Ladruñan,Castellote,3
41,42,Ladruñan,Las cuevas de cañart,1
42,44,Las cuevas de cañart,Seno,3
42,45,Las cuevas de cañart,Molinos,2
43,44,Castellote,Seno,1
43,48,Castellote,Las Parras,2
44,45,Seno,Molinos,3
49,50,Puerto de Fortanete,Alto del Hornillo,2
49,56,Puerto de Fortanete,Allepuz,3
51,12,Nacimiento de Las Truchas,Iglesuela de cid,2
52,56,Villarroya de los Pinares,Allepuz,2
52,53,Villarroya de los Pinares,Miravete,2
52,49,Villarroya de los Pinares,Puerto de Fortanete,3
53,56,Miravete,Allepuz,2
53,07,Miravete,Rio Pitarque,2
54,49,Ermita del Carmen,Puerto de Fortanete,3
